epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5803,3.62404,6.14047,3.81542,4.16225,0.00244,0.21891,0.00337,0.00124,0.002,0.1791,0.00195,0.00047,3.61672,4.97928,3.91273,3.98084,0.000651852,0.000651852,0.000651852
2,15.525,3.41503,4.33174,3.64385,3.88504,0.00272,0.24378,0.0029,0.00076,0.00039,0.03483,0.00023,5e-05,3.36225,5.39565,3.83728,3.81209,0.00131417,0.00131417,0.00131417
3,20.3839,3.11311,4.09703,3.4396,3.49028,0.03407,0.06965,0.00981,0.00313,0.00405,0.0597,0.00169,0.00033,3.10843,33.783,40.0651,4.98597,0.00197208,0.00197208,0.00197208
4,25.4668,3.03168,3.96989,3.30859,3.27251,0.0558,0.09453,0.01566,0.00458,0.06038,0.09453,0.0189,0.00449,3.02002,6.12856,16.7776,3.31262,0.0019802,0.0019802,0.0019802
5,30.605,2.87702,3.80014,3.18593,3.08567,0.03008,0.04478,0.01809,0.00358,0.04665,0.0398,0.01156,0.00302,2.97599,4.31811,5.70512,3.18945,0.0019736,0.0019736,0.0019736
6,35.6258,2.72275,3.74542,3.15118,3.0059,0.08339,0.1791,0.04652,0.01518,0.07664,0.16915,0.04183,0.01351,2.63125,3.89694,4.54944,2.85208,0.001967,0.001967,0.001967
7,40.7495,2.59778,3.62231,3.01778,2.8903,0.15956,0.16915,0.08341,0.02501,0.1543,0.11982,0.08555,0.02299,2.48741,3.59222,3.11601,2.76056,0.0019604,0.0019604,0.0019604
8,45.8638,2.52879,3.53876,2.90399,2.76474,0.14051,0.20398,0.09116,0.03211,0.14925,0.15423,0.09277,0.033,2.41132,3.77478,2.99585,2.66101,0.0019538,0.0019538,0.0019538
9,50.7039,2.45872,3.37836,2.77883,2.6942,0.20632,0.20398,0.13882,0.0507,0.24772,0.18408,0.13217,0.04623,2.40459,3.49953,2.96064,2.69374,0.0019472,0.0019472,0.0019472
10,55.6898,2.40897,3.35851,2.68544,2.66628,0.12296,0.19403,0.09318,0.0336,0.10986,0.16915,0.08181,0.02845,2.37408,3.61032,3.00809,2.6667,0.0019406,0.0019406,0.0019406
