epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.93544,3.5982,5.49019,3.79147,4.13866,0.00244,0.21891,0.00319,0.00116,0.00206,0.18408,0.00181,0.00043,3.59357,5.00771,3.85693,4.02436,0.000651852,0.000651852,0.000651852
2,12.7759,3.35905,4.33872,3.58968,3.85942,0.00419,0.33831,0.00792,0.00223,0.00154,0.12438,0.00093,0.00019,3.6019,6.19604,3.69511,4.09563,0.00131417,0.00131417,0.00131417
3,17.5439,3.10239,4.07287,3.38474,3.45351,0.02256,0.04478,0.00634,0.00183,0.01893,0.02488,0.00323,0.0007,3.47643,27.8064,7.84906,6.60482,0.00197208,0.00197208,0.00197208
4,22.3199,3.03065,3.90306,3.25991,3.26123,0.0498,0.02985,0.01783,0.00493,0.05067,0.03483,0.0164,0.00598,3.13822,4.74283,3.51611,3.39001,0.0019802,0.0019802,0.0019802
5,27.0669,2.8948,3.74267,3.10987,3.12131,0.04221,0.08955,0.01514,0.00421,0.04695,0.06468,0.01395,0.00386,2.92296,4.53906,4.08322,3.13457,0.0019736,0.0019736,0.0019736
6,31.8194,2.7374,3.73784,3.06986,3.02991,0.13885,0.14925,0.06482,0.019,0.13257,0.14428,0.06412,0.01959,2.67071,4.11226,4.29771,2.94475,0.001967,0.001967,0.001967
7,36.5806,2.58348,3.63411,2.9203,2.89787,0.22227,0.13433,0.08324,0.0236,0.23873,0.14428,0.08604,0.02732,2.53744,3.58991,3.2023,2.77864,0.0019604,0.0019604,0.0019604
8,41.3539,2.50114,3.52249,2.77481,2.75893,0.21135,0.1791,0.12168,0.04714,0.2162,0.19403,0.13141,0.04812,2.38251,3.53383,2.86979,2.66746,0.0019538,0.0019538,0.0019538
9,46.1354,2.41574,3.39992,2.67256,2.68012,0.11526,0.12438,0.05538,0.01592,0.10664,0.1194,0.05307,0.01405,2.65567,4.05695,3.37142,2.88215,0.0019472,0.0019472,0.0019472
10,50.8415,2.3434,3.3497,2.67497,2.62381,0.18056,0.19403,0.12774,0.04398,0.17305,0.17413,0.11119,0.03289,2.26422,3.61878,2.83044,2.56089,0.0019406,0.0019406,0.0019406
11,55.5874,2.27245,3.25815,2.57706,2.55141,0.23003,0.26866,0.16793,0.07323,0.24294,0.26866,0.17753,0.06703,2.19397,3.45671,2.79309,2.48892,0.001934,0.001934,0.001934
12,60.4177,2.19673,3.17849,2.46322,2.50312,0.25292,0.199,0.17041,0.07828,0.29999,0.199,0.19556,0.08433,2.15389,3.43193,2.70566,2.45199,0.0019274,0.0019274,0.0019274
13,65.1816,2.11641,3.09194,2.33718,2.39867,0.37841,0.28358,0.27093,0.11856,0.40647,0.28358,0.28055,0.12385,2.0135,3.06745,2.50322,2.3273,0.0019208,0.0019208,0.0019208
14,69.9299,2.13103,3.04384,2.30305,2.41051,0.38026,0.34826,0.32785,0.15133,0.38492,0.34328,0.33279,0.14811,2.00735,3.10202,2.28368,2.27842,0.0019142,0.0019142,0.0019142
15,74.7332,2.0533,2.9925,2.2226,2.34359,0.37412,0.31343,0.27288,0.12891,0.36816,0.29569,0.27955,0.12642,2.03333,3.03752,2.40714,2.34287,0.0019076,0.0019076,0.0019076
16,79.5401,1.97405,2.87,2.12806,2.2554,0.37656,0.32338,0.29332,0.12696,0.38179,0.30846,0.29062,0.1213,2.08805,3.235,2.34899,2.3499,0.001901,0.001901,0.001901
17,84.2331,1.94886,2.89682,2.0815,2.23598,0.44758,0.41294,0.34835,0.15416,0.44879,0.41294,0.34813,0.14795,1.9941,3.19348,2.20862,2.26006,0.0018944,0.0018944,0.0018944
18,88.9925,1.91596,2.71489,1.96975,2.19076,0.41205,0.42786,0.35516,0.17788,0.44693,0.38194,0.36536,0.1715,1.92291,2.99774,2.16912,2.19419,0.0018878,0.0018878,0.0018878
19,93.7688,1.91761,2.82506,1.98834,2.18708,0.44223,0.34826,0.34525,0.15495,0.45939,0.35513,0.36505,0.16032,2.0239,3.12361,2.24961,2.31867,0.0018812,0.0018812,0.0018812
20,98.5112,1.90527,2.81107,1.93739,2.19091,0.50731,0.36816,0.40558,0.17727,0.5293,0.37313,0.40223,0.16825,1.97028,3.22384,2.05343,2.18539,0.0018746,0.0018746,0.0018746
21,103.342,1.82635,2.72219,1.88371,2.08888,0.5826,0.37313,0.42346,0.2052,0.63268,0.39801,0.45753,0.21652,1.88882,2.98061,1.94075,2.16972,0.001868,0.001868,0.001868
22,108.054,1.80374,2.70713,1.85958,2.05191,0.55445,0.43284,0.41653,0.18187,0.54809,0.44776,0.4504,0.19761,1.98988,3.03373,2.03205,2.24448,0.0018614,0.0018614,0.0018614
23,112.731,1.79328,2.63737,1.79809,2.05471,0.53216,0.42786,0.41668,0.19441,0.52422,0.44776,0.43839,0.18543,1.95456,3.02618,1.97586,2.1995,0.0018548,0.0018548,0.0018548
24,117.543,1.77257,2.68918,1.7756,2.01625,0.45545,0.39303,0.34687,0.15846,0.43675,0.44776,0.35772,0.17054,1.97089,3.01417,2.23919,2.26327,0.0018482,0.0018482,0.0018482
25,122.274,1.78135,2.70226,1.83395,2.03831,0.50056,0.51741,0.45966,0.22308,0.52064,0.53731,0.48503,0.22754,1.79141,2.89713,1.92507,2.06039,0.0018416,0.0018416,0.0018416
26,127.03,1.68827,2.55726,1.70375,1.94578,0.52218,0.47761,0.48109,0.2292,0.53593,0.51741,0.51388,0.24124,1.79543,2.77841,1.81438,2.05852,0.001835,0.001835,0.001835
27,131.736,1.70096,2.55265,1.68947,1.96466,0.58304,0.48698,0.50282,0.25171,0.65376,0.51244,0.53496,0.2604,1.79648,2.80412,1.82939,2.0399,0.0018284,0.0018284,0.0018284
28,136.473,1.68499,2.5265,1.62959,1.92705,0.54404,0.51741,0.47119,0.2314,0.54436,0.529,0.49025,0.23348,1.82869,2.85768,1.8573,2.06548,0.0018218,0.0018218,0.0018218
29,141.285,1.68393,2.5221,1.63363,1.93216,0.59675,0.54726,0.5307,0.25286,0.59675,0.54726,0.52559,0.26648,1.84578,2.87984,1.76051,2.06569,0.0018152,0.0018152,0.0018152
