epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.07497,3.53988,5.50183,3.79639,4.13858,0.00244,0.21891,0.00346,0.00129,0.00206,0.18408,0.00173,0.00043,3.53403,4.99167,3.80604,4.02483,0.000651852,0.000651852,0.000651852
2,12.9446,3.36095,4.40915,3.6077,3.85798,0.00322,0.1791,0.00353,0.00114,0.00233,0.12935,0.00191,0.00048,3.89948,7.18096,4.09488,4.58058,0.00131417,0.00131417,0.00131417
3,17.7496,3.03533,4.16929,3.4325,3.47541,0.02897,0.04975,0.01061,0.00278,0.02659,0.10448,0.00812,0.00183,3.10738,10.8754,6.46018,3.51594,0.00197208,0.00197208,0.00197208
4,22.5395,2.89412,4.0254,3.34782,3.24604,0.05966,0.05473,0.01501,0.00434,0.08483,0.09453,0.02749,0.00668,2.8756,5.84017,5.92829,3.19624,0.0019802,0.0019802,0.0019802
5,27.2863,2.70125,3.83187,3.2101,3.01204,0.13516,0.06965,0.03251,0.00707,0.14409,0.07463,0.03307,0.01003,2.8567,4.48757,6.57092,3.23091,0.0019736,0.0019736,0.0019736
6,32.0289,2.61865,3.79959,3.13486,2.92544,0.11202,0.1318,0.06096,0.02243,0.11902,0.14428,0.06513,0.02374,2.56395,4.4033,4.21843,2.79947,0.001967,0.001967,0.001967
7,36.8062,2.47111,3.71714,2.99023,2.78966,0.1376,0.0995,0.06364,0.02153,0.14448,0.10448,0.06227,0.01982,2.55483,3.99317,3.30099,2.87431,0.0019604,0.0019604,0.0019604
8,41.5239,2.36296,3.57159,2.84171,2.64902,0.22799,0.18905,0.12192,0.04593,0.24968,0.18408,0.11946,0.043,2.43818,3.61714,2.93857,2.67523,0.0019538,0.0019538,0.0019538
9,46.1713,2.29221,3.44056,2.67184,2.54952,0.22225,0.24311,0.15299,0.05736,0.22895,0.24966,0.1553,0.06085,2.25,3.60004,2.85467,2.4932,0.0019472,0.0019472,0.0019472
10,50.9468,2.23525,3.40683,2.66839,2.51003,0.2863,0.21393,0.18395,0.06952,0.27625,0.20398,0.17096,0.06674,2.19204,3.3072,2.85487,2.43782,0.0019406,0.0019406,0.0019406
11,55.7764,2.17818,3.29075,2.56394,2.43761,0.32593,0.18905,0.18182,0.07629,0.35914,0.20398,0.19075,0.07283,2.20003,3.63636,2.74489,2.46823,0.001934,0.001934,0.001934
12,60.6786,2.12043,3.18814,2.48236,2.39572,0.38392,0.31314,0.29139,0.12154,0.41957,0.29131,0.28736,0.1201,2.07161,3.2322,2.463,2.34039,0.0019274,0.0019274,0.0019274
13,65.4683,2.07603,3.14518,2.36374,2.32028,0.29623,0.28856,0.22023,0.09763,0.298,0.29568,0.24172,0.10379,2.05811,3.17652,2.71107,2.29999,0.0019208,0.0019208,0.0019208
14,70.2904,2.06204,3.08032,2.31992,2.32778,0.31635,0.33831,0.27627,0.12478,0.32181,0.35323,0.27345,0.11772,2.01836,3.08836,2.26165,2.23461,0.0019142,0.0019142,0.0019142
15,75.113,1.99181,3.03461,2.23284,2.26754,0.4317,0.16252,0.17289,0.07571,0.4317,0.16252,0.16759,0.0757,2.21323,3.44274,2.87355,2.53037,0.0019076,0.0019076,0.0019076
16,79.9483,1.90691,2.93981,2.13792,2.16205,0.50435,0.33333,0.34288,0.16093,0.51551,0.34938,0.34869,0.15218,2.00924,3.06903,2.20941,2.23693,0.001901,0.001901,0.001901
