epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5517,3.6183,6.53308,3.82111,4.17584,0.00244,0.21891,0.00294,0.00116,0.002,0.1791,0.00197,0.00052,3.63872,4.96149,3.94453,4.04979,0.000651852,0.000651852,0.000651852
2,15.5418,3.37271,4.40109,3.61677,3.84911,0.00354,0.27861,0.00444,0.00118,0.00208,0.16418,0.00235,0.00052,3.86487,5.66479,3.7871,4.825,0.00131417,0.00131417,0.00131417
3,20.4689,3.0466,4.08401,3.43158,3.43836,0.0172,0.06468,0.00664,0.00192,0.03822,0.06965,0.00755,0.00186,3.33842,15.7439,6.2603,3.77136,0.00197208,0.00197208,0.00197208
4,25.3091,2.92351,3.94729,3.30686,3.20732,0.09429,0.06468,0.03528,0.01199,0.15071,0.06965,0.03927,0.01202,2.89388,4.88394,5.73904,3.16956,0.0019802,0.0019802,0.0019802
5,30.0973,2.74772,3.74736,3.13135,3.01903,0.13619,0.09453,0.05563,0.01783,0.12312,0.13433,0.05565,0.01734,2.64904,4.24483,4.62118,2.99869,0.0019736,0.0019736,0.0019736
6,35.0249,2.62813,3.68891,3.03763,2.90699,0.1017,0.19403,0.08097,0.02772,0.10781,0.18905,0.08812,0.02876,2.46987,3.75644,4.55697,2.74933,0.001967,0.001967,0.001967
7,39.8759,2.52201,3.56139,2.88081,2.81478,0.22258,0.15954,0.11735,0.03558,0.25353,0.14363,0.11737,0.03708,2.52415,3.65735,4.98015,2.77546,0.0019604,0.0019604,0.0019604
8,44.6795,2.42932,3.46133,2.73319,2.69518,0.16575,0.1791,0.1263,0.04649,0.18765,0.14428,0.1208,0.03786,2.54965,3.62819,3.00121,2.69335,0.0019538,0.0019538,0.0019538
9,49.5059,2.35435,3.32411,2.60715,2.60199,0.22348,0.22388,0.14202,0.0522,0.20457,0.1791,0.13432,0.04958,2.4481,3.58379,3.05779,2.68824,0.0019472,0.0019472,0.0019472
10,54.6366,2.31798,3.28258,2.56681,2.59121,0.25692,0.24378,0.17085,0.06487,0.27209,0.22388,0.17649,0.06351,2.37968,3.40763,2.64555,2.60785,0.0019406,0.0019406,0.0019406
11,59.7488,2.25534,3.205,2.5082,2.52367,0.30292,0.31343,0.22858,0.10303,0.31054,0.28856,0.23045,0.09838,2.23,3.40001,2.57154,2.47276,0.001934,0.001934,0.001934
12,64.7161,2.17928,3.12573,2.39823,2.49023,0.43143,0.32836,0.29221,0.12481,0.41933,0.31841,0.28492,0.12092,2.18603,3.35912,2.3735,2.42955,0.0019274,0.0019274,0.0019274
13,69.4885,2.11434,3.06485,2.29258,2.403,0.35923,0.29353,0.27766,0.12313,0.38331,0.26904,0.29004,0.12551,2.05897,3.12777,2.31615,2.32779,0.0019208,0.0019208,0.0019208
14,74.3704,2.14538,3.06527,2.36232,2.44632,0.33772,0.33831,0.28148,0.12582,0.37186,0.30348,0.28581,0.12695,2.192,3.22315,2.43465,2.43648,0.0019142,0.0019142,0.0019142
15,79.5671,2.07048,2.98774,2.22246,2.382,0.45088,0.32836,0.33671,0.15373,0.48999,0.33831,0.34882,0.14279,1.99597,3.03282,2.1862,2.29484,0.0019076,0.0019076,0.0019076
16,84.6495,1.986,2.87756,2.13568,2.29285,0.41076,0.37313,0.31796,0.15386,0.46064,0.34328,0.32678,0.13836,2.01715,3.17225,2.29522,2.30678,0.001901,0.001901,0.001901
17,89.6664,1.94814,2.87642,2.05037,2.25484,0.43376,0.40018,0.38612,0.15901,0.44771,0.40299,0.39518,0.16682,2.07818,3.0202,2.07706,2.29657,0.0018944,0.0018944,0.0018944
18,94.5446,1.90713,2.73733,1.96622,2.21719,0.415,0.42786,0.35044,0.16224,0.46253,0.43781,0.39432,0.17509,1.99218,3.05014,2.20062,2.3183,0.0018878,0.0018878,0.0018878
19,99.3776,1.88071,2.80077,1.94557,2.19538,0.4553,0.46766,0.41537,0.21069,0.51071,0.37811,0.42623,0.20697,1.8713,2.86418,1.95619,2.15236,0.0018812,0.0018812,0.0018812
20,104.159,1.85468,2.76836,1.90186,2.19955,0.48751,0.44776,0.41517,0.18559,0.49777,0.44279,0.42906,0.19459,2.00465,3.01334,2.08301,2.25791,0.0018746,0.0018746,0.0018746
21,109.012,1.80473,2.71306,1.86652,2.12105,0.50349,0.47761,0.43918,0.20052,0.50607,0.42786,0.43624,0.20179,1.89037,2.95973,1.9433,2.1895,0.001868,0.001868,0.001868
22,113.796,1.79696,2.71015,1.88413,2.11618,0.56365,0.46269,0.44998,0.21852,0.55759,0.45771,0.4511,0.21843,1.85688,2.9798,1.91612,2.14185,0.0018614,0.0018614,0.0018614
