epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.92864,3.60217,5.45706,3.77247,4.17338,0.0025,0.22388,0.00377,0.00131,0.00206,0.18408,0.00176,0.00044,3.62705,4.98615,3.94504,4.05352,0.000651852,0.000651852,0.000651852
2,13.1744,3.40252,4.40481,3.63947,3.90777,0.00398,0.199,0.00392,0.00145,0.00199,0.0995,0.00112,0.00024,3.79243,7.7247,3.95412,4.57908,0.00131417,0.00131417,0.00131417
3,18.3303,3.07735,4.1382,3.47898,3.50415,0.02721,0.0796,0.00612,0.00176,0.00611,0.02985,0.0011,0.00023,3.13328,6.50677,17.6675,3.85941,0.00197208,0.00197208,0.00197208
4,23.5096,2.9223,3.97488,3.34813,3.24576,0.06874,0.08955,0.03202,0.00859,0.11124,0.08458,0.03415,0.00922,2.93119,5.10609,4.77432,3.43589,0.0019802,0.0019802,0.0019802
5,28.6947,2.76416,3.81581,3.20396,3.05336,0.10019,0.0597,0.03206,0.00961,0.12568,0.06468,0.03521,0.01029,2.76096,4.4905,6.57591,2.98592,0.0019736,0.0019736,0.0019736
6,33.7843,2.65475,3.75385,3.12629,2.96783,0.10457,0.14428,0.06567,0.02072,0.12965,0.12935,0.07335,0.02462,2.68519,3.87652,3.32086,2.90518,0.001967,0.001967,0.001967
7,38.8175,2.54988,3.61376,2.94041,2.83664,0.21013,0.19854,0.12539,0.04063,0.20222,0.19042,0.13136,0.04279,2.4861,3.69037,2.89558,2.74958,0.0019604,0.0019604,0.0019604
8,43.7642,2.42452,3.5122,2.79297,2.69663,0.15156,0.16915,0.09326,0.03202,0.14678,0.14925,0.08724,0.02644,2.43382,3.56356,3.36226,2.71691,0.0019538,0.0019538,0.0019538
9,48.82,2.35049,3.34695,2.6285,2.61856,0.2219,0.20896,0.16406,0.05685,0.23129,0.21891,0.16564,0.05797,2.31813,3.47875,3.00998,2.55164,0.0019472,0.0019472,0.0019472
10,54.1886,2.30995,3.32415,2.61428,2.575,0.15399,0.1393,0.10338,0.03751,0.17117,0.16418,0.10503,0.0372,2.35003,3.55789,3.06777,2.61357,0.0019406,0.0019406,0.0019406
11,59.3649,2.21019,3.1887,2.50608,2.485,0.31972,0.30348,0.25025,0.10228,0.32496,0.30846,0.25534,0.09689,2.16054,3.29187,2.41384,2.43461,0.001934,0.001934,0.001934
12,64.557,2.15494,3.0945,2.38047,2.45178,0.34274,0.36816,0.28237,0.12369,0.36548,0.38308,0.2849,0.11823,2.0699,3.40441,2.32413,2.3286,0.0019274,0.0019274,0.0019274
13,69.6695,2.13729,3.07046,2.30858,2.38284,0.38931,0.24876,0.24368,0.09998,0.37877,0.28211,0.26657,0.10733,2.16055,3.21309,2.43765,2.37907,0.0019208,0.0019208,0.0019208
14,74.5934,2.11143,3.01524,2.28668,2.3869,0.39552,0.34328,0.31439,0.13416,0.36527,0.35821,0.3165,0.1386,2.08579,3.05009,2.28401,2.33514,0.0019142,0.0019142,0.0019142
15,79.7619,2.04962,2.97255,2.21189,2.34515,0.48862,0.35178,0.31598,0.14514,0.49942,0.33831,0.3232,0.13959,2.04296,3.01752,2.36522,2.32322,0.0019076,0.0019076,0.0019076
16,84.9358,1.98592,2.88527,2.16949,2.26937,0.37775,0.30807,0.30621,0.13473,0.39606,0.323,0.30603,0.13301,1.97933,3.12215,2.30065,2.25971,0.001901,0.001901,0.001901
17,90.0906,1.98959,2.90025,2.13781,2.26717,0.38465,0.33333,0.30232,0.1248,0.35115,0.36348,0.29425,0.12296,2.12645,3.14424,2.42534,2.3686,0.0018944,0.0018944,0.0018944
18,95.227,1.95832,2.80103,2.04596,2.22707,0.439,0.41268,0.37056,0.16788,0.54279,0.39801,0.39317,0.17,1.98572,3.09285,2.11628,2.24415,0.0018878,0.0018878,0.0018878
19,100.3,1.9212,2.81882,1.99647,2.20076,0.40696,0.37213,0.34982,0.15622,0.41784,0.38208,0.35668,0.15604,2.03984,3.04661,2.22231,2.27963,0.0018812,0.0018812,0.0018812
20,105.608,1.8959,2.83158,1.9921,2.21019,0.50205,0.41294,0.40278,0.17753,0.51425,0.37811,0.39888,0.18199,1.9484,3.04778,2.15541,2.22564,0.0018746,0.0018746,0.0018746
21,110.944,1.83545,2.72805,1.90714,2.13031,0.51203,0.43284,0.42409,0.19125,0.5111,0.47264,0.42871,0.1987,1.97417,3.00032,2.02112,2.19882,0.001868,0.001868,0.001868
22,116.395,1.82644,2.7237,1.9064,2.11861,0.39257,0.44694,0.35566,0.15388,0.40602,0.45274,0.37318,0.17026,2.01539,3.03539,2.14118,2.20328,0.0018614,0.0018614,0.0018614
23,121.672,1.81813,2.66682,1.85148,2.08999,0.52256,0.47264,0.45103,0.20864,0.50418,0.45771,0.43585,0.20526,1.96888,2.87965,2.03604,2.23185,0.0018548,0.0018548,0.0018548
24,126.88,1.80396,2.70659,1.83338,2.07662,0.4865,0.46766,0.42155,0.1983,0.53716,0.47264,0.43152,0.20227,1.92633,2.94101,2.08382,2.12572,0.0018482,0.0018482,0.0018482
25,132.013,1.76518,2.65081,1.78693,2.03958,0.50861,0.44279,0.44943,0.19869,0.52004,0.45274,0.47279,0.22355,1.96389,2.86739,1.98811,2.19847,0.0018416,0.0018416,0.0018416
26,137.109,1.74894,2.63237,1.77611,2.02111,0.46366,0.45771,0.39724,0.19353,0.48382,0.47761,0.42672,0.19159,1.95288,2.87848,2.12696,2.22688,0.001835,0.001835,0.001835
27,142.177,1.70822,2.59466,1.70825,2.00639,0.51563,0.43284,0.45014,0.21194,0.52582,0.45274,0.4394,0.21656,1.9139,2.92093,1.95885,2.12787,0.0018284,0.0018284,0.0018284
28,147.243,1.70488,2.53303,1.68196,1.99276,0.44469,0.51741,0.42746,0.19876,0.44824,0.51244,0.42771,0.19699,1.88012,3.00591,1.96075,2.12017,0.0018218,0.0018218,0.0018218
29,152.349,1.72566,2.58924,1.73568,2.00541,0.57946,0.42786,0.47379,0.23031,0.58899,0.43491,0.46888,0.23487,1.84912,2.87883,1.99623,2.04854,0.0018152,0.0018152,0.0018152
30,157.6,1.66433,2.5734,1.66917,1.9758,0.57636,0.40299,0.47717,0.24017,0.55759,0.38806,0.45057,0.21698,1.78754,2.89151,1.87754,2.03657,0.0018086,0.0018086,0.0018086
31,162.759,1.69447,2.57948,1.67279,1.97832,0.60561,0.46766,0.49532,0.24031,0.63839,0.4655,0.51514,0.24451,1.85372,2.97107,1.892,2.0936,0.001802,0.001802,0.001802
32,167.875,1.6388,2.47407,1.61089,1.93231,0.57392,0.48756,0.50281,0.23404,0.59904,0.46828,0.49802,0.24752,1.87509,2.77562,1.8779,2.15185,0.0017954,0.0017954,0.0017954
33,172.773,1.65884,2.4871,1.59208,1.93435,0.59381,0.54726,0.49084,0.24575,0.60461,0.55721,0.52121,0.24651,1.76181,2.86569,1.79754,2.01011,0.0017888,0.0017888,0.0017888
34,177.846,1.62557,2.44203,1.54807,1.89137,0.50007,0.54726,0.5031,0.24253,0.56384,0.46766,0.50145,0.24369,1.83986,2.91405,1.84847,2.06301,0.0017822,0.0017822,0.0017822
35,183.032,1.58511,2.40009,1.52863,1.8767,0.44219,0.52239,0.47003,0.22117,0.47498,0.52736,0.49812,0.23662,1.81893,2.92923,1.8656,2.07546,0.0017756,0.0017756,0.0017756
36,187.983,1.59198,2.44785,1.54496,1.8608,0.47649,0.55721,0.50505,0.24636,0.53863,0.51113,0.51767,0.25161,1.76614,2.69116,1.81193,1.99957,0.001769,0.001769,0.001769
37,192.999,1.58656,2.41181,1.51995,1.86488,0.53394,0.46269,0.45274,0.23021,0.52791,0.45619,0.46266,0.22895,1.75639,2.93183,1.8738,2.02477,0.0017624,0.0017624,0.0017624
