epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.19925,3.53696,5.43513,3.76944,4.16108,0.00244,0.21891,0.0041,0.00145,0.00206,0.18408,0.00195,0.00049,3.58737,4.97565,3.88715,4.0485,0.000651852,0.000651852,0.000651852
2,13.5481,3.26511,4.3501,3.59612,3.83086,0.00222,0.199,0.00287,0.00092,0.00189,0.16915,0.00169,0.00036,3.88167,5.07708,3.80368,4.56886,0.00131417,0.00131417,0.00131417
3,18.531,2.96999,4.10294,3.44571,3.46238,0.01774,0.09453,0.00914,0.00254,0.02277,0.06965,0.00782,0.00184,2.94606,6.02035,6.01028,3.5139,0.00197208,0.00197208,0.00197208
4,23.5982,2.84704,3.90845,3.27069,3.20686,0.11878,0.06965,0.02735,0.00805,0.09081,0.08955,0.02825,0.00662,3.01122,7.447,11.0467,4.38245,0.0019802,0.0019802,0.0019802
5,28.6608,2.67259,3.7277,3.08386,3.01016,0.14207,0.199,0.10271,0.03082,0.15814,0.20896,0.10151,0.03709,2.66194,3.92388,4.79434,3.08812,0.0019736,0.0019736,0.0019736
6,33.7789,2.56224,3.62744,2.96748,2.90862,0.16316,0.1791,0.09744,0.03549,0.17676,0.19403,0.10536,0.0382,2.52038,3.8856,3.6438,2.80921,0.001967,0.001967,0.001967
7,38.8609,2.4555,3.50285,2.79922,2.77359,0.13098,0.199,0.07454,0.02671,0.14535,0.22084,0.07741,0.02658,2.33153,3.58735,3.88615,2.68895,0.0019604,0.0019604,0.0019604
8,43.8018,2.35957,3.4026,2.69618,2.66804,0.15263,0.28856,0.11711,0.04697,0.16456,0.24378,0.12739,0.04399,2.30885,3.57136,2.82704,2.63129,0.0019538,0.0019538,0.0019538
9,48.8366,2.28386,3.27728,2.5594,2.57707,0.26859,0.25373,0.17106,0.07016,0.30561,0.25373,0.18364,0.0727,2.27939,3.44287,2.8616,2.57177,0.0019472,0.0019472,0.0019472
10,53.8541,2.22216,3.22483,2.50789,2.54979,0.29184,0.22886,0.21244,0.08788,0.26525,0.21891,0.20932,0.07364,2.12257,3.23976,2.66654,2.47007,0.0019406,0.0019406,0.0019406
11,59.0467,2.14344,3.12367,2.3984,2.4761,0.39006,0.33333,0.29443,0.13272,0.38423,0.32836,0.30294,0.12146,2.12463,3.31874,2.39154,2.43188,0.001934,0.001934,0.001934
12,64.4555,2.09021,3.04615,2.31928,2.43878,0.41818,0.35821,0.3449,0.15127,0.41469,0.37811,0.34891,0.15746,2.03824,3.10318,2.27237,2.36831,0.0019274,0.0019274,0.0019274
13,69.9148,2.03819,2.99928,2.22627,2.37276,0.36291,0.35323,0.2999,0.13065,0.36802,0.35821,0.31198,0.14256,2.06251,3.22059,2.361,2.39374,0.0019208,0.0019208,0.0019208
14,75.1756,2.03386,2.95852,2.19429,2.36334,0.39379,0.31841,0.29066,0.12431,0.38355,0.31343,0.27797,0.12156,2.04775,3.30283,2.3884,2.32392,0.0019142,0.0019142,0.0019142
15,80.5255,1.94699,2.90414,2.12435,2.30819,0.4222,0.36816,0.35034,0.1718,0.43932,0.38308,0.36331,0.16575,1.98901,2.91396,2.16739,2.28238,0.0019076,0.0019076,0.0019076
16,85.88,1.87726,2.80731,2.0317,2.2121,0.53733,0.34826,0.41276,0.18869,0.55076,0.35821,0.42193,0.19603,1.93909,3.02334,2.02634,2.24272,0.001901,0.001901,0.001901
17,91.2732,1.89024,2.84058,2.0105,2.234,0.38947,0.42529,0.36109,0.15121,0.40274,0.42289,0.37154,0.15017,1.93222,3.14008,2.70626,2.184,0.0018944,0.0018944,0.0018944
18,96.7297,1.85006,2.68503,1.95869,2.18599,0.37745,0.46269,0.33056,0.1526,0.40978,0.47264,0.37289,0.15619,1.94851,3.0895,2.46622,2.24598,0.0018878,0.0018878,0.0018878
19,102.158,1.83435,2.76258,1.92716,2.18208,0.37546,0.31343,0.30331,0.1444,0.41395,0.31841,0.32205,0.14928,1.92258,2.95945,2.37023,2.2398,0.0018812,0.0018812,0.0018812
20,107.583,1.81072,2.72055,1.89725,2.17289,0.49673,0.49254,0.42872,0.19301,0.51361,0.46766,0.42937,0.18922,1.83342,2.97068,2.01805,2.11783,0.0018746,0.0018746,0.0018746
21,112.975,1.77094,2.70734,1.88249,2.12367,0.46845,0.45771,0.39281,0.1787,0.49933,0.47264,0.41428,0.18193,1.88283,3.03458,2.04125,2.13832,0.001868,0.001868,0.001868
22,117.918,1.74726,2.6766,1.84275,2.09871,0.47558,0.43312,0.40017,0.17379,0.53378,0.41294,0.42748,0.20084,1.86164,2.9547,2.06554,2.14884,0.0018614,0.0018614,0.0018614
23,122.896,1.70753,2.60253,1.74782,2.05723,0.46422,0.46766,0.42144,0.20487,0.48638,0.51244,0.45185,0.19503,1.82937,2.97259,2.00253,2.11907,0.0018548,0.0018548,0.0018548
24,127.981,1.71284,2.71415,1.77574,2.04047,0.46514,0.41294,0.4119,0.20311,0.54265,0.38962,0.42111,0.19529,1.8111,3.09319,2.02476,2.13514,0.0018482,0.0018482,0.0018482
25,133.103,1.67539,2.63382,1.73825,2.01848,0.55899,0.39801,0.42043,0.20765,0.58398,0.41294,0.4473,0.20884,1.88918,2.90054,2.07981,2.17274,0.0018416,0.0018416,0.0018416
26,138.451,1.66035,2.5747,1.69461,1.9794,0.5132,0.42786,0.41267,0.19636,0.51807,0.44776,0.42095,0.19461,1.78768,2.84159,2.01958,2.0901,0.001835,0.001835,0.001835
27,143.656,1.62445,2.56136,1.66905,1.96896,0.54652,0.48756,0.50587,0.24189,0.56398,0.48756,0.50024,0.24376,1.82039,2.86549,1.87714,2.06411,0.0018284,0.0018284,0.0018284
28,148.705,1.62531,2.51852,1.62216,1.93955,0.58952,0.4573,0.48267,0.23465,0.60095,0.46453,0.49756,0.22796,1.80564,2.88309,2.10263,2.08356,0.0018218,0.0018218,0.0018218
