epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.43,3.54745,6.1846,3.8025,4.14881,0.0025,0.22388,0.00393,0.00127,0.002,0.1791,0.002,0.00049,3.58171,4.95995,3.91643,3.99214,0.000651852,0.000651852,0.000651852
2,16.865,3.308,4.33385,3.61757,3.85003,0.01013,0.16915,0.00923,0.00237,0.00144,0.12935,0.00089,0.00024,3.55281,5.94437,26.6754,5.03575,0.00131417,0.00131417,0.00131417
3,22.1098,3.03308,4.09094,3.40746,3.45516,0.00927,0.06965,0.00421,0.00135,0.03243,0.01493,0.00281,0.00082,3.24932,5.84093,10.5977,4.99828,0.00197208,0.00197208,0.00197208
4,27.3028,2.93468,3.93815,3.25244,3.2522,0.09034,0.08955,0.03441,0.00951,0.1292,0.10448,0.04381,0.01103,2.95778,5.4564,11.679,3.47732,0.0019802,0.0019802,0.0019802
5,32.6015,2.77661,3.76125,3.13149,3.09622,0.08278,0.0995,0.03271,0.00765,0.10697,0.10448,0.04643,0.01211,2.78377,4.34559,5.75006,3.11249,0.0019736,0.0019736,0.0019736
6,37.6795,2.66975,3.74299,3.13395,3.02954,0.1096,0.13433,0.0681,0.02254,0.12886,0.12935,0.07146,0.02328,2.63929,4.04221,3.98357,2.94464,0.001967,0.001967,0.001967
7,42.6483,2.50311,3.58279,3.01815,2.86344,0.1718,0.13004,0.07971,0.02908,0.26332,0.10448,0.06782,0.02579,2.42999,3.84475,3.97289,2.75988,0.0019604,0.0019604,0.0019604
8,47.7224,2.40733,3.48764,2.86789,2.72386,0.21271,0.21393,0.1211,0.04655,0.25138,0.18408,0.12369,0.04169,2.31203,3.47395,2.98658,2.60996,0.0019538,0.0019538,0.0019538
9,52.9556,2.31146,3.30728,2.69267,2.61935,0.18784,0.22886,0.1219,0.0455,0.20125,0.19403,0.11971,0.04843,2.25297,3.58246,3.23653,2.59563,0.0019472,0.0019472,0.0019472
10,58.2786,2.26928,3.29463,2.6644,2.59398,0.1576,0.18905,0.13336,0.05188,0.14281,0.16418,0.125,0.0412,2.32754,3.69245,3.17428,2.62449,0.0019406,0.0019406,0.0019406
11,63.5111,2.17076,3.16799,2.56285,2.50757,0.34276,0.31841,0.24656,0.10764,0.38548,0.27363,0.26147,0.10879,2.16737,3.22904,2.49501,2.47334,0.001934,0.001934,0.001934
12,68.8147,2.10664,3.07278,2.47871,2.46314,0.27494,0.29353,0.20416,0.09273,0.29298,0.29851,0.22461,0.0914,2.06208,3.13733,2.42334,2.36405,0.0019274,0.0019274,0.0019274
13,73.9308,2.0696,3.04111,2.38178,2.3819,0.44103,0.27861,0.28681,0.1121,0.45557,0.29142,0.30673,0.12915,2.13023,3.00858,2.38322,2.39219,0.0019208,0.0019208,0.0019208
14,79.0744,2.06681,2.99438,2.31087,2.39247,0.3585,0.31418,0.29214,0.13661,0.36241,0.33333,0.29197,0.12899,2.0339,3.00651,2.35076,2.33521,0.0019142,0.0019142,0.0019142
15,84.3397,2.003,2.93942,2.21914,2.33603,0.41416,0.35821,0.33222,0.15465,0.45838,0.32836,0.32554,0.14101,1.99205,3.08362,2.31882,2.25587,0.0019076,0.0019076,0.0019076
16,89.3952,1.91653,2.84047,2.11525,2.22732,0.46335,0.38232,0.38245,0.17372,0.46043,0.36816,0.3754,0.17657,2.00075,2.95544,2.19046,2.25564,0.001901,0.001901,0.001901
17,94.5076,1.94803,2.84861,2.0721,2.24542,0.38493,0.33333,0.29966,0.12778,0.38544,0.33831,0.29654,0.13008,1.96431,3.08294,2.29302,2.22139,0.0018944,0.0018944,0.0018944
18,99.5894,1.89171,2.75947,2.0398,2.20354,0.45868,0.36318,0.36845,0.16795,0.48381,0.38308,0.39004,0.16404,1.94732,3.11887,2.09378,2.28637,0.0018878,0.0018878,0.0018878
19,104.441,1.87265,2.79735,1.96119,2.1699,0.41982,0.41294,0.3662,0.16687,0.48485,0.37811,0.38194,0.17573,1.91741,2.92119,2.15024,2.21607,0.0018812,0.0018812,0.0018812
20,109.25,1.87395,2.76854,1.95287,2.19433,0.48905,0.46766,0.4344,0.18112,0.50485,0.45654,0.42686,0.19321,1.95687,3.02407,2.09108,2.21428,0.0018746,0.0018746,0.0018746
21,114.436,1.83285,2.71875,1.90783,2.13195,0.40995,0.47011,0.40784,0.18745,0.43599,0.49996,0.42354,0.1899,1.91933,2.91713,2.08527,2.15886,0.001868,0.001868,0.001868
22,119.615,1.81352,2.68947,1.88937,2.11585,0.42417,0.45077,0.41012,0.20018,0.45449,0.45771,0.4234,0.20232,1.81653,2.86469,2.07723,2.11228,0.0018614,0.0018614,0.0018614
