epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.0655,3.60212,5.66414,3.77624,4.1593,0.00244,0.21891,0.00691,0.00218,0.00206,0.18408,0.00311,0.00069,3.64718,4.96015,4.10504,4.01015,0.000651852,0.000651852,0.000651852
2,13.2207,3.32329,4.40106,3.58718,3.8497,0.00854,0.00498,0.00576,0.00164,0.02442,0.01493,0.00198,0.00038,3.81304,9.12037,3.62682,4.43105,0.00131417,0.00131417,0.00131417
3,18.2298,3.04458,4.09964,3.41645,3.46326,0.00846,0.08955,0.00474,0.00142,0.00785,0.14428,0.00395,0.00098,3.18474,4.83292,7.0399,3.57219,0.00197208,0.00197208,0.00197208
4,23.1748,2.90208,3.94093,3.26969,3.20343,0.07982,0.16915,0.03149,0.00956,0.07963,0.16418,0.0347,0.01023,2.89248,5.69387,21.7732,3.33675,0.0019802,0.0019802,0.0019802
5,28.1667,2.7359,3.7865,3.08134,2.97086,0.12958,0.0995,0.0448,0.0186,0.10843,0.11443,0.04954,0.01874,2.76801,4.47884,4.70707,3.06581,0.0019736,0.0019736,0.0019736
6,33.2027,2.58941,3.68617,2.96093,2.86233,0.20942,0.15684,0.10501,0.03452,0.20335,0.15423,0.0982,0.03613,2.42822,3.91412,3.24813,2.77587,0.001967,0.001967,0.001967
7,38.1749,2.47275,3.57182,2.82069,2.74778,0.12328,0.1721,0.06934,0.02192,0.1269,0.1656,0.06625,0.02242,2.50198,3.75585,2.99577,2.82408,0.0019604,0.0019604,0.0019604
8,43.1137,2.37462,3.50845,2.70485,2.64807,0.2713,0.1393,0.10869,0.04032,0.3369,0.16418,0.12212,0.04292,2.31348,3.86583,3.12522,2.63499,0.0019538,0.0019538,0.0019538
9,48.6168,2.29331,3.34045,2.56645,2.55554,0.2533,0.31343,0.21856,0.09051,0.25808,0.29421,0.23121,0.08961,2.21035,3.46725,2.70202,2.49013,0.0019472,0.0019472,0.0019472
10,54.1773,2.26026,3.27349,2.54076,2.5332,0.31867,0.27363,0.21328,0.08445,0.33861,0.28358,0.21807,0.08231,2.12181,3.28931,2.48813,2.44376,0.0019406,0.0019406,0.0019406
11,59.5535,2.17153,3.21773,2.42696,2.46292,0.3439,0.30846,0.23746,0.10523,0.35137,0.30348,0.25994,0.10113,2.10516,3.31844,2.40626,2.40296,0.001934,0.001934,0.001934
12,65.2669,2.10164,3.09514,2.34337,2.42254,0.31335,0.35821,0.25999,0.10678,0.30183,0.35323,0.26575,0.09722,2.05566,3.33282,2.40668,2.35388,0.0019274,0.0019274,0.0019274
13,70.9185,2.07719,3.06631,2.204,2.35926,0.34153,0.30846,0.28054,0.12169,0.35971,0.31304,0.28814,0.12436,2.09481,3.31398,2.31725,2.37588,0.0019208,0.0019208,0.0019208
